States,year,quarter,District,trans_counts,amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,442,931663.0770939873
Andaman & Nicobar Islands,2018,1,South Andaman District,5688,12560249.34366581
Andaman & Nicobar Islands,2018,1,Nicobars District,528,1139848.801225994
Andaman & Nicobar Islands,2018,2,North And Middle Andaman District,825,1317863.0834906558
Andaman & Nicobar Islands,2018,2,South Andaman District,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,Nicobars District,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,3,North And Middle Andaman District,1283,4901529.518499676
Andaman & Nicobar Islands,2018,3,South Andaman District,13511,44268112.464252464
Andaman & Nicobar Islands,2018,3,Nicobars District,1471,6387829.151558982
Andaman & Nicobar Islands,2018,4,North And Middle Andaman District,2137,7955635.917688001
Andaman & Nicobar Islands,2018,4,South Andaman District,20136,75411840.8
Andaman & Nicobar Islands,2018,4,Nicobars District,1485,7180859.354911782
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,3264,9561708.736298349
Andaman & Nicobar Islands,2019,1,South Andaman District,25683,85501972.38780196
Andaman & Nicobar Islands,2019,1,Nicobars District,1539,7236059.549389593
Andaman & Nicobar Islands,2019,2,North And Middle Andaman District,3371,8612103.137888122
Andaman & Nicobar Islands,2019,2,South Andaman District,28490,102530955.71341251
Andaman & Nicobar Islands,2019,2,Nicobars District,1828,9111650.824
Andaman & Nicobar Islands,2019,3,North And Middle Andaman District,4049,11481466.28335679
Andaman & Nicobar Islands,2019,3,South Andaman District,27421,91023888.32848613
Andaman & Nicobar Islands,2019,3,Nicobars District,2300,11566421.47545101
Andaman & Nicobar Islands,2019,4,North And Middle Andaman District,4716,13524056.784573939
Andaman & Nicobar Islands,2019,4,South Andaman District,27843,110930312.2061162
Andaman & Nicobar Islands,2019,4,Nicobars District,2600,12384161.52668771
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,5674,14697371.62
Andaman & Nicobar Islands,2020,1,South Andaman District,32713,134679396.90582752
Andaman & Nicobar Islands,2020,1,Nicobars District,2911,12099543.77359005
Andaman & Nicobar Islands,2020,2,North And Middle Andaman District,10979,22447714.061058953
Andaman & Nicobar Islands,2020,2,South Andaman District,48088,132855778.74838582
Andaman & Nicobar Islands,2020,2,Nicobars District,3895,14341508.60470232
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,16747,33486883.37042555
Andaman & Nicobar Islands,2020,3,South Andaman District,95323,282366109.2052393
Andaman & Nicobar Islands,2020,3,Nicobars District,5413,22166453.75469538
Andaman & Nicobar Islands,2020,4,North And Middle Andaman District,29349,68941322.38839513
Andaman & Nicobar Islands,2020,4,South Andaman District,186494,523122462.88302904
Andaman & Nicobar Islands,2020,4,Nicobars District,8688,35218871.04342849
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,27358,75027255.27919498
Andaman & Nicobar Islands,2021,1,South Andaman District,207092,669604045.1248703
